Runtime(in minutes),Genre,Actors,Director,Poster,Movie Name,Rating,Release Year
87,Crime Drama Thriller ,,90 min,https://m.media-amazon.com/images/M/MV5BNzM5MTRlZDAtZTY3OC00ODI4LWI3YTItZDhkYzMwOTkxZDIxXkEyXkFqcGdeQXVyNzQ1NDIxMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg,The Big House,7.1,1930
108,Action Drama War ,,90 min,https://m.media-amazon.com/images/M/MV5BMDUzZWYxMTMtOWUwNi00N2MzLWEyZDAtYzc2Nzc5MWIzMTJkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX67_CR0,0,67,98_AL_.jpg,The Dawn Patrol,7.1,1930
84,Romance Drama ,,90 min,https://m.media-amazon.com/images/M/MV5BOTczNTI2ZWEtNjkwOS00YmZmLWFkY2QtZDEzNGFkZTQyNzM2XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg,The Divorcee,6.7,1930
99,Animation Comedy Musical ,,90 min,https://m.media-amazon.com/images/M/MV5BMTM5NGZmMGEtMmEyOC00ZGJhLWJiOWItM2RmYWIyMDVlY2E5XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_UY98_CR3,0,67,98_AL_.jpg,King of Jazz,6.7,1930
69,Comedy Drama ,,90 min,https://m.media-amazon.com/images/M/MV5BOTdjZjI5ZmEtZTI0Mi00MjJkLWE0ZDQtNjEzYTFkMjYzMGY3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX67_CR0,0,67,98_AL_.jpg,Min and Bill,6.7,1930
90,Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BMjI2NDAwNDAyM15BMl5BanBnXkFtZTcwNjM1MjQxMw@@._V1_UX67_CR0,0,67,98_AL_.jpg,Bad Girl,6.5,1931
86,Drama Family Sport ,,90 min,https://m.media-amazon.com/images/M/MV5BNTU4M2JiNTUtNmIzOS00ZWE3LTljZmItZjc1NDA2MDQyZThjXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UY98_CR0,0,67,98_AL_.jpg,The Champ I,7.3,1931
123,Drama Western ,,90 min,https://m.media-amazon.com/images/M/MV5BYWQwZGM0MTktNDM1NC00MTZlLTllNzctYTllZWI2MzdiNmMyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY98_CR0,0,67,98_AL_.jpg,Cimarron,5.8,1931
93,Crime Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BMWY4YjFkNzItMTEyZS00OTIwLWJiYmQtY2JlMTcxZGM4N2Q1XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX67_CR0,0,67,98_AL_.jpg,A Free Soul,6.6,1931
75,Drama ,,90 min,https://m.media-amazon.com/images/M/MV5BNzgxYmRkMDEtMGU4OS00ZTY5LTg1NWUtMTI5NWMxMDNlZDgxXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UY98_CR3,0,67,98_AL_.jpg,The Sin of Madelon Claudet,6.6,1931
85,Comedy Drama Family ,,90 min,https://m.media-amazon.com/images/M/MV5BMTg0Mzc1OTg4NF5BMl5BanBnXkFtZTcwMDM1MjQxMw@@._V1_UY98_CR1,0,67,98_AL_.jpg,Skippy,6.3,1931
86,Adventure Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BNDhmNzg0M2UtZGNkNC00YTQ3LWE0ZjAtMmFjNTI2MmFkZmNiXkEyXkFqcGdeQXVyMTczMjA2Nzk@._V1_UY98_CR0,0,67,98_AL_.jpg,Tabu: A Story of the South Seas,7.4,1931
78,Comedy Drama ,,90 min,https://m.media-amazon.com/images/M/MV5BYWMxY2RmMWYtOWI0YS00ODVhLTgxM2ItZDBmNDczODZjYjY5XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY98_CR1,0,67,98_AL_.jpg,Transatlantic,6.4,1931
98,Horror Sci-Fi ,,90 min,https://m.media-amazon.com/images/M/MV5BMTc1MjE3NTMxNV5BMl5BanBnXkFtZTgwMTQ0NzkxMjE@._V1_UY98_CR4,0,67,98_AL_.jpg,Dr. Jekyll and Mr. Hyde,7.6,1931
80,Drama Romance War ,,90 min,https://m.media-amazon.com/images/M/MV5BMzM2ODc0NTY3OF5BMl5BanBnXkFtZTgwMjQwNzkzMjE@._V1_UX67_CR0,0,67,98_AL_.jpg,A Farewell to Arms,6.4,1932
112,Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BMTQxNDc4MDcwNF5BMl5BanBnXkFtZTgwNzY0MjUzMjE@._V1_UX67_CR0,0,67,98_AL_.jpg,Grand Hotel I,7.3,1932
67,Comedy Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BYWI1OWFmNWItMzQ3My00ODQzLTliMTMtN2YyOTY0NWRmZDU2XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_UX67_CR0,0,67,98_AL_.jpg,One Way Passage,7.5,1932
82,Adventure Drama Film-Noir ,,90 min,https://m.media-amazon.com/images/M/MV5BMDc3ODRlZDktY2M2MC00Y2UxLWI1MWMtODkyYjI1NzQyNjIwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg,Shanghai Express,7.3,1932
112,Drama Romance War ,,90 min,https://m.media-amazon.com/images/M/MV5BNzY0MTUwZTctMGIwOS00MjhjLTgzNGItN2M5YzZkMjFiZmNhXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg,Cavalcade,5.8,1933
117,Drama ,,90 min,https://m.media-amazon.com/images/M/MV5BYzcyY2UyOTMtZGY1Ni00NjI3LThhNTAtNjBkZmJmOGNlZDc1XkEyXkFqcGdeQXVyODQ2NzAzMjY@._V1_UX67_CR0,0,67,98_AL_.jpg,Eskimo,6.9,1933
115,Drama Family Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BZGVmNzc3ODYtYjJlYy00YmQ4LWE3NWQtZTlhYWRjYjI1MTg1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg,Little Women,7.2,1933
74,Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BMTMxMzEzNzQ1MF5BMl5BanBnXkFtZTcwNTk4NTQxMw@@._V1_UY98_CR3,0,67,98_AL_.jpg,Morning Glory,6.4,1933
97,Drama ,,90 min,https://m.media-amazon.com/images/M/MV5BZDFiZjBmNzItZmRkMi00ZmNmLTg0OTctOGFkZWI2NzRjN2M5XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg,The Private Life of Henry VIII,7.0,1933
100,Biography Drama History ,,90 min,https://m.media-amazon.com/images/M/MV5BMjgzMTgwNTI1M15BMl5BanBnXkFtZTgwMTgxNjk3MjE@._V1_UX67_CR0,0,67,98_AL_.jpg,Cleopatra,6.8,1934
107,Comedy Musical Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BYjNhYTQ5MmEtNjAyNS00MDYwLThkMmQtNzAxY2JhNjM3NGI2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY98_CR1,0,67,98_AL_.jpg,The Gay Divorcee,7.4,1934
105,Comedy Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg,It Happened One Night,8.1,1934
93,Crime Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BNGRhZWVkZGUtY2FjMi00NjhlLThhNGYtYTY4ZThhMzdkMjg3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX67_CR0,0,67,98_AL_.jpg,Manhattan Melodrama,7.1,1934
99,Comedy Musical Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BYjVjMmZkZTAtYzAwMC00MDUxLWFiODYtMzJjNjhjNzVjNTJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg,The Merry Widow,7.2,1934
84,Music Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BNzk5NDg0NTY4NF5BMl5BanBnXkFtZTgwODQxODgwMzE@._V1_UX67_CR0,0,67,98_AL_.jpg,One Night of Love,5.7,1934
115,Western ,,90 min,https://m.media-amazon.com/images/M/MV5BZjMwZWMxZDctNTlkNC00YTE4LWIzZGEtYWZkNzFhZWU3ZDBjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg,Viva Villa!,6.4,1934
101,Musical Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BZWJlZmFhMjQtMDJkNy00ZGFkLTg2Y2ItMTIxNTI0YWZjNWVmXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX67_CR0,0,67,98_AL_.jpg,Broadway Melody of 1936,6.8,1935
79,Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BZDFlY2VkNTMtMDcwOC00YjlkLWE2ZGMtMGVlZGUxNTcwNGVjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX67_CR0,0,67,98_AL_.jpg,Dangerous,6.8,1935
106,Drama Romance ,,90 min,https://m.media-amazon.com/images/M/MV5BN2U1NjkyZjktNzU5MS00NGIyLTkxMGQtOTk3OTczM2YxOGY2XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX67_CR0,0,67,98_AL_.jpg,The Dark Angel,6.6,1935
